"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"la_republica","10-2011",1519,6,0,0,0,0,0,0,0,0,6,0,0,0,0
"la_republica","11-2011",3033,21,3,0,3,3,0,3,0,0,9,0,0,0,0
"la_republica","12-2011",5578,68,3,0,3,15,0,0,0,9,38,0,0,0,0
"la_republica","1-2012",5436,45,6,0,0,15,0,3,0,3,18,0,0,0,0
"la_republica","2-2012",5653,21,0,0,0,0,0,6,0,3,12,0,0,0,0
"la_republica","3-2012",5814,33,6,0,3,3,0,0,0,0,21,0,0,0,0
"la_republica","4-2012",5794,25,3,0,0,0,0,2,0,3,17,0,0,0,0
"la_republica","5-2012",5810,13,3,0,0,5,0,1,0,0,4,0,0,0,0
"la_republica","6-2012",6427,37,5,0,0,14,0,0,0,0,18,0,0,0,0
"la_republica","7-2012",7549,30,3,0,0,9,0,0,0,0,18,0,0,0,0
"la_republica","8-2012",7006,30,3,0,0,5,0,4,0,0,18,0,0,0,0
"la_republica","9-2012",6940,20,6,0,0,0,0,0,0,3,11,0,0,0,0
"la_republica","10-2012",6662,21,6,0,0,3,0,3,0,0,9,0,0,0,0
"la_republica","11-2012",6008,15,0,0,0,3,0,3,0,0,9,0,0,0,0
"la_republica","12-2012",5403,18,0,3,0,3,0,3,0,3,6,0,0,0,0
"la_republica","1-2013",5171,21,6,0,2,3,0,0,0,3,7,0,0,0,0
"la_republica","2-2013",2907,7,1,0,0,3,0,0,0,0,3,0,0,0,0
"la_republica","3-2013",5538,35,0,0,0,9,0,3,3,9,11,0,0,0,0
"la_republica","4-2013",4447,7,0,0,0,0,0,3,0,0,4,0,0,0,0
"la_republica","5-2013",6198,31,9,0,3,2,0,6,0,0,11,0,0,0,0
"la_republica","6-2013",6168,26,9,0,0,3,0,3,0,0,11,0,0,0,0
"la_republica","7-2013",6576,33,9,0,0,0,3,3,0,0,18,0,0,0,0
"la_republica","8-2013",7693,30,3,0,0,6,0,3,0,0,18,0,0,0,0
"la_republica","9-2013",7605,21,0,0,0,6,0,0,0,0,15,0,0,0,0
"la_republica","10-2013",7311,18,3,0,0,0,0,0,3,0,12,0,0,0,0
"la_republica","11-2013",6789,38,3,0,0,9,0,3,3,0,20,0,0,0,0
"la_republica","12-2013",6396,27,6,0,0,7,0,0,0,0,14,0,0,0,0
"la_republica","1-2014",6520,9,3,0,0,3,0,0,0,0,3,0,0,0,0
"la_republica","2-2014",5616,13,3,0,0,2,0,2,0,0,6,0,0,0,0
"la_republica","3-2014",5998,41,0,3,2,6,0,9,0,0,21,0,0,0,0
"la_republica","4-2014",6019,23,2,0,0,0,0,3,0,3,15,0,0,0,0
"la_republica","5-2014",6199,21,2,3,3,6,0,3,0,2,2,0,0,0,0
"la_republica","6-2014",8252,27,6,0,0,5,0,0,0,0,16,0,0,0,0
"la_republica","7-2014",10881,8,3,0,0,0,0,0,0,0,5,0,0,0,0
"la_republica","8-2014",13482,16,0,1,0,4,2,2,0,4,3,0,0,0,0
"la_republica","9-2014",1963,6,3,0,0,1,0,0,0,0,2,0,0,0,0
"la_republica","10-2014",1633,2,0,0,0,1,0,0,0,0,1,0,0,0,0
